Tipo,Tamanho,InsertionSort,MergeSort,QuickSort
Aleatorio,5000,0.01300000,0.00100000,0.00000000
Aleatorio,15000,0.14500000,0.00400000,0.00100000
Aleatorio,30000,0.58200000,0.00700000,0.00300000
Aleatorio,40000,1.08800000,0.00900000,0.00500000
Crescente,5000,0.00000000,0.00100000,0.05100000
Crescente,15000,0.00000000,0.00300000,0.46400000
Crescente,30000,0.00000000,0.00400000,1.89200000
Crescente,40000,0.00000000,0.00900000,3.32600000
Decrescente,5000,0.02500000,0.00000000,0.04300000
Decrescente,15000,0.29300000,0.00000000,0.31600000
Decrescente,30000,1.16000000,0.00600000,1.23100000
Decrescente,40000,1.57300000,0.00200000,1.67700000
